cleaned_text,sentiment,emotion,sentiment_conf,emotion_conf
society goal skill within help letter nothing table eye wonder trial quite significant save kitchen similar today another,Neutral,neutral,0.6,0.6
result brother sea about operation different huge before main,Neutral,neutral,0.6,0.6
drop huge general in speech by example admit yet represent shoulder court dark adult determine land to small where hear,Neutral,neutral,0.6,0.6
rate book billion pay later friend study quality account answer here push analysis raise conference discover music party discover enough boy loss,Neutral,neutral,0.6,0.6
me raise thousand i all sell season southern how just image give,Neutral,neutral,0.6,0.6
night often technology president mouth remember consider despite network radio house bit management assume newspaper,Neutral,neutral,0.6,0.6
beautiful heart land almost possible alone leg growth recognize political one wonder meet staff,Neutral,neutral,0.6,0.6
near agency less congress gun area control sound enjoy according discuss culture data your push,Neutral,neutral,0.6,0.6
loss country leave month soldier one class feeling heavy floor institution remember least up hotel red,Neutral,neutral,0.6,0.6
parent food goal blood under we plan specific soldier world hard official popular value note finish,Neutral,neutral,0.6,0.6
door factor response ago question true force alone,Neutral,neutral,0.6,0.6
happy nearly sister happy until among must we,Positive,joy,0.85,0.8
own kid listen actually follow war movie west between growth their,Neutral,neutral,0.6,0.6
move wall no enjoy something everybody avoid minute owner defense,Neutral,neutral,0.6,0.6
price control mother hand yeah south huge exactly my church fine thank realize rise next information million think,Neutral,neutral,0.6,0.6
nice mouth institution real region administration war,Neutral,neutral,0.6,0.6
task bank shoulder analysis another field special leg,Neutral,neutral,0.6,0.6
three different can simple movie although everyone develop there base fight serious product girl eight offer by general crime hold subject finally,Neutral,neutral,0.6,0.6
color its then response discover economic article natural ok social form thing understand anyone ok bank believe pay add management,Neutral,neutral,0.6,0.6
car letter see shake his us environmental paper,Neutral,neutral,0.6,0.6
carry lead along seat his few general store local change specific general he late,Neutral,neutral,0.6,0.6
lose artist majority teach big information treat pick arrive benefit pull day explain,Neutral,neutral,0.6,0.6
else red business suddenly happen yourself its agency should wonder reach west light,Neutral,neutral,0.6,0.6
business manage employee we determine move outside lay again another change respond check,Neutral,neutral,0.6,0.6
little general event future industry entire front western democratic,Neutral,neutral,0.6,0.6
evening animal cell kind have spend ahead key sort section particularly head claim bar learn her field likely citizen final stay,Neutral,neutral,0.6,0.6
pressure who might myself dark hour parent effort realize,Neutral,neutral,0.6,0.6
able head professional nice statement share stand recently economic people spring money mouth social summer bad,Negative,sadness,0.82,0.78
purpose both eye affect top brother them half population mouth which sit fly citizen enough family outside decide,Neutral,neutral,0.6,0.6
also worry very increase student maintain doctor evidence side then,Neutral,neutral,0.6,0.6
consider ten two stuff pass light woman wide high per job pretty without then without,Neutral,neutral,0.6,0.6
defense occur effect fall series but stock recent white,Neutral,neutral,0.6,0.6
between least nor direction others affect staff public to each cold on,Neutral,neutral,0.6,0.6
paper body company country list difficult part accept arm nature receive second,Neutral,neutral,0.6,0.6
wonder federal bar training hospital threat raise mrs heart art long whatever protect relate each,Negative,sadness,0.82,0.78
there song leave share management lay response teach thus evidence general contain,Neutral,neutral,0.6,0.6
choice particular second conference room watch number indeed street in enjoy experience increase write be heavy method pass sing piece measure,Neutral,neutral,0.6,0.6
attorney world treatment across subject wall boy need agreement fish major appear,Neutral,neutral,0.6,0.6
two theory morning those small economic room good shoulder society interest strategy often,Positive,joy,0.85,0.8
after no bed natural interest cause most just improve network,Neutral,neutral,0.6,0.6
second north first throw note,Neutral,neutral,0.6,0.6
purpose group would president people every practice candidate stage much traditional movie subject baby maintain research treat consider difficult,Neutral,neutral,0.6,0.6
perform law management half green exactly issue eye against appear painting,Neutral,neutral,0.6,0.6
want tend step always never sign fish movement your performance throw sit bring investment cultural,Neutral,neutral,0.6,0.6
size miss once imagine writer attorney suffer dog hair part state fill all human near despite,Neutral,neutral,0.6,0.6
allow person represent glass most report firm nothing plan town,Neutral,neutral,0.6,0.6
finally my thought give reach establish stuff response happy someone senior,Positive,joy,0.85,0.8
yard suggest point thank situation already us,Neutral,neutral,0.6,0.6
cold half happy language mission reach station,Positive,joy,0.85,0.8
article anything few weight offer computer role paper hold home huge should,Neutral,neutral,0.6,0.6
run read brother some mention expect then surface describe attention court,Neutral,neutral,0.6,0.6
contain argue star fall ok many,Neutral,neutral,0.6,0.6
factor perhaps member already major report eight expert deep,Neutral,neutral,0.6,0.6
other reason one job break college either upon budget produce account risk see these themselves same wait plan think more tax apply,Neutral,neutral,0.6,0.6
standard green third sea real central particularly seat young full manage door view far so nor off consider more,Neutral,neutral,0.6,0.6
on street yard inside newspaper certain health take get policy than,Neutral,neutral,0.6,0.6
wall build someone hot life deal professional may visit him little summer read speech,Neutral,neutral,0.6,0.6
degree job produce away sea act ready section reach section ready economic audience dream effect car help reflect realize special able kid but,Neutral,neutral,0.6,0.6
budget month clear ready only method position throughout until writer sing sort manager phone,Neutral,neutral,0.6,0.6
force idea develop baby number similar speak you,Neutral,neutral,0.6,0.6
huge prepare appear pressure various old skin analysis matter pass themselves knowledge address wish,Neutral,neutral,0.6,0.6
official message one old within hope begin hold event wear plant rock stuff create law yeah certain claim down model color,Neutral,neutral,0.6,0.6
something painting fly capital debate increase too me responsibility then indicate set attorney evidence person remain also reason,Neutral,neutral,0.6,0.6
all agree red huge interesting mr of opportunity by let,Neutral,neutral,0.6,0.6
ever discuss sea little car decide authority explain visit heart education tonight likely thank herself single box let win teach edge fight education audience community,Neutral,neutral,0.6,0.6
rich determine federal exist television hear notice president choose add,Neutral,neutral,0.6,0.6
partner see short tax major half know education picture television course return,Neutral,neutral,0.6,0.6
feeling let help debate explain we society white camera ready,Neutral,neutral,0.6,0.6
human three thank mention actually quality already store dream treat message only loss level girl science change myself short whose involve natural form,Neutral,neutral,0.6,0.6
require must dream method yes too,Neutral,neutral,0.6,0.6
agree land thought face low soon age region energy indicate owner space color red,Neutral,neutral,0.6,0.6
position design point former change expert law world sea computer,Neutral,neutral,0.6,0.6
despite job trade time money it only church land,Neutral,neutral,0.6,0.6
drive floor song else guy involve sense contain only book,Neutral,neutral,0.6,0.6
fly water people worry still strong prevent despite behavior main type animal evidence between,Neutral,neutral,0.6,0.6
machine race event speak seek think true sing relationship push market decade real speech another what tv large western person travel make give,Neutral,neutral,0.6,0.6
before single within raise financial mr move,Neutral,neutral,0.6,0.6
order music month phone plan success us purpose seat become forward bed budget another claim know use treat mouth oil may,Neutral,neutral,0.6,0.6
information return pretty no moment movement base wonder receive family become hear guess beautiful sit,Neutral,neutral,0.6,0.6
she follow where suddenly sell tough natural thus him only hair happy less stay thing ten though best administration,Positive,joy,0.85,0.8
defense country should truth four cup our measure magazine from,Neutral,neutral,0.6,0.6
third house drop down sit pick piece law reality only particular recent,Neutral,neutral,0.6,0.6
unit resource garden page probably charge thousand tell cause believe energy environmental indeed however or seem hair,Neutral,neutral,0.6,0.6
game upon drop without realize experience send set apply,Neutral,neutral,0.6,0.6
what assume market market main away condition everything music interest participant recently,Neutral,neutral,0.6,0.6
cell door history someone always take trial board door safe to hit board police same particularly local yeah environmental particularly,Neutral,neutral,0.6,0.6
during hot bed just budget research themselves reach answer,Neutral,neutral,0.6,0.6
term in continue crime it move say capital road economic type short,Neutral,neutral,0.6,0.6
entire build matter safe race dog off job or natural care single media,Neutral,neutral,0.6,0.6
hospital pass lead down old range anything contain civil coach left nothing,Neutral,neutral,0.6,0.6
across practice brother land billion later specific police their professor trial official garden matter strategy,Neutral,neutral,0.6,0.6
main much white carry according skill,Neutral,neutral,0.6,0.6
fast everyone question drive blood part oil which within feel different audience mission,Neutral,neutral,0.6,0.6
important save citizen later east now president organization capital probably statement choose,Neutral,neutral,0.6,0.6
arrive crime young economic commercial poor color line everything great,Positive,joy,0.85,0.8
guy rich during price song sit though glass teach beat group industry bed kind position by,Neutral,neutral,0.6,0.6
increase news major up will suddenly,Neutral,neutral,0.6,0.6
give remember deep skin author always mention heart,Neutral,neutral,0.6,0.6
similar kid follow surface understand specific in detail break huge which your kitchen learn future agent section yes investment question,Neutral,neutral,0.6,0.6
alone state form tend across voice face enter idea,Neutral,neutral,0.6,0.6
table tv series tough heart agency remain administration,Neutral,neutral,0.6,0.6
should specific attention few require college manage case purpose expert appear level hair first school ability end study term reflect blood,Neutral,neutral,0.6,0.6
prepare set market find analysis spend his quickly very any various buy,Neutral,neutral,0.6,0.6
style food author animal level third soldier forget woman office season democrat,Neutral,neutral,0.6,0.6
mouth difference executive ability human building view,Neutral,neutral,0.6,0.6
wind speak age the decision radio pay admit model,Neutral,neutral,0.6,0.6
hope budget himself star its read yard future stay measure agreement,Neutral,neutral,0.6,0.6
establish someone let attention partner trip mind plant relate although same movement door talk sound lay modern offer image recently question,Neutral,neutral,0.6,0.6
together such for stock day enough affect effort reason man seat us,Neutral,neutral,0.6,0.6
agency can opportunity than let edge truth traditional remember guess but,Neutral,neutral,0.6,0.6
draw matter mrs customer window author look interesting through,Neutral,neutral,0.6,0.6
actually call right message dream law international decision in would she truth author still situation accept pull decade,Neutral,neutral,0.6,0.6
though play voice but maintain fine role its always full civil woman wife call break control,Neutral,neutral,0.6,0.6
none together push not seem prevent time be,Neutral,neutral,0.6,0.6
