cleaned_text,sentiment,emotion,sentiment_conf,emotion_conf
01 06 2022,Neutral,neutral,0.6,0.6
01 06 2022,Neutral,neutral,0.6,0.6
01 06 2022,Neutral,neutral,0.6,0.6
01 06 2022,Neutral,neutral,0.6,0.6
01 06 2022,Neutral,neutral,0.6,0.6
01 06 2022,Neutral,neutral,0.6,0.6
01 06 2022,Neutral,neutral,0.6,0.6
03 06 2022,Neutral,neutral,0.6,0.6
03 06 2022,Neutral,neutral,0.6,0.6
03 06 2022,Neutral,neutral,0.6,0.6
03 06 2022,Neutral,neutral,0.6,0.6
03 06 2022,Neutral,neutral,0.6,0.6
03 06 2022,Neutral,neutral,0.6,0.6
03 06 2022,Neutral,neutral,0.6,0.6
03 06 2022,Neutral,neutral,0.6,0.6
06 06 2022,Neutral,neutral,0.6,0.6
06 06 2022,Neutral,neutral,0.6,0.6
06 06 2022,Neutral,neutral,0.6,0.6
06 06 2022,Neutral,neutral,0.6,0.6
06 06 2022,Neutral,neutral,0.6,0.6
06 06 2022,Neutral,neutral,0.6,0.6
06 06 2022,Neutral,neutral,0.6,0.6
06 06 2022,Neutral,neutral,0.6,0.6
09 06 2022,Neutral,neutral,0.6,0.6
09 06 2022,Neutral,neutral,0.6,0.6
09 06 2022,Neutral,neutral,0.6,0.6
09 06 2022,Neutral,neutral,0.6,0.6
09 06 2022,Neutral,neutral,0.6,0.6
09 06 2022,Neutral,neutral,0.6,0.6
09 06 2022,Neutral,neutral,0.6,0.6
09 06 2022,Neutral,neutral,0.6,0.6
13 06 2022,Neutral,neutral,0.6,0.6
13 06 2022,Neutral,neutral,0.6,0.6
13 06 2022,Neutral,neutral,0.6,0.6
13 06 2022,Neutral,neutral,0.6,0.6
13 06 2022,Neutral,neutral,0.6,0.6
13 06 2022,Neutral,neutral,0.6,0.6
13 06 2022,Neutral,neutral,0.6,0.6
17 06 2022,Neutral,neutral,0.6,0.6
17 06 2022,Neutral,neutral,0.6,0.6
17 06 2022,Neutral,neutral,0.6,0.6
17 06 2022,Neutral,neutral,0.6,0.6
17 06 2022,Neutral,neutral,0.6,0.6
17 06 2022,Neutral,neutral,0.6,0.6
17 06 2022,Neutral,neutral,0.6,0.6
17 06 2022,Neutral,neutral,0.6,0.6
20 06 2022,Neutral,neutral,0.6,0.6
20 06 2022,Neutral,neutral,0.6,0.6
20 06 2022,Neutral,neutral,0.6,0.6
20 06 2022,Neutral,neutral,0.6,0.6
20 06 2022,Neutral,neutral,0.6,0.6
20 06 2022,Neutral,neutral,0.6,0.6
20 06 2022,Neutral,neutral,0.6,0.6
20 06 2022,Neutral,neutral,0.6,0.6
22 06 2022,Neutral,neutral,0.6,0.6
22 06 2022,Neutral,neutral,0.6,0.6
22 06 2022,Neutral,neutral,0.6,0.6
22 06 2022,Neutral,neutral,0.6,0.6
22 06 2022,Neutral,neutral,0.6,0.6
22 06 2022,Neutral,neutral,0.6,0.6
22 06 2022,Neutral,neutral,0.6,0.6
22 06 2022,Neutral,neutral,0.6,0.6
