review_id,review_text,aspect,sentiment
1,The camera quality of this phone is amazing but the battery drains fast.,camera,positive
2,"Battery life is terrible, but the display is bright and sharp.",battery,negative
3,"The laptop performance is smooth, but the fan noise is too loud.",performance,positive
4,"I love the sound quality of these headphones, but the build feels cheap.",sound,positive
5,The delivery was super fast but the packaging was damaged.,delivery,positive
6,Customer service was very rude and unhelpful.,customer_service,negative
7,The food tasted great but the portion size was very small.,taste,positive
8,The hotel room was clean but the Wi-Fi was extremely slow.,wifi,negative
9,"The product quality is top-notch, completely satisfied.",quality,positive
10,The price is too high for the level of features offered.,price,negative
11,The user interface is simple and easy to use.,ui,positive
12,The shoes are comfortable but the color fades quickly.,durability,negative
13,The watch design is elegant and stylish.,design,positive
14,The app keeps crashing again and again.,stability,negative
15,Vegetables were fresh and well packed.,freshness,positive
16,The charger heats up too much while using.,safety,negative
17,"Good value for money, really worth it.",value,positive
18,The keyboard keys stopped working within a week.,reliability,negative
19,The fragrance of this perfume lasts all day.,longevity,positive
20,The TV remote is unresponsive and laggy.,usability,negative
