cleaned_text,sentiment,emotion,sentiment_conf,emotion_conf
absolutely loved this product,Positive,joy,0.85,0.8
cheap build not worth the price,Neutral,neutral,0.6,0.6
neutral experience overall,Neutral,neutral,0.6,0.6
neutral experience overall,Neutral,neutral,0.6,0.6
standard item no major issues,Neutral,neutral,0.6,0.6
absolutely loved this product,Positive,joy,0.85,0.8
the product is okay nothing special,Neutral,neutral,0.6,0.6
battery lasts very long super impressed,Neutral,neutral,0.6,0.6
rude customer service and no help,Neutral,neutral,0.6,0.6
not too good not too bad,Negative,sadness,0.82,0.78
performs as expected for the price,Neutral,neutral,0.6,0.6
battery drains too fast and heats badly,Negative,sadness,0.82,0.78
cheap build not worth the price,Neutral,neutral,0.6,0.6
absolutely loved this product,Positive,joy,0.85,0.8
amazing quality and excellent performance,Positive,joy,0.85,0.8
not too good not too bad,Negative,sadness,0.82,0.78
fantastic experience highly recommended,Neutral,neutral,0.6,0.6
cheap build not worth the price,Neutral,neutral,0.6,0.6
performs as expected for the price,Neutral,neutral,0.6,0.6
absolutely loved this product,Positive,joy,0.85,0.8
i regret buying this so much,Neutral,neutral,0.6,0.6
rude customer service and no help,Neutral,neutral,0.6,0.6
cheap build not worth the price,Neutral,neutral,0.6,0.6
worth every penny very satisfied,Neutral,neutral,0.6,0.6
standard item no major issues,Neutral,neutral,0.6,0.6
battery lasts very long super impressed,Neutral,neutral,0.6,0.6
rude customer service and no help,Neutral,neutral,0.6,0.6
premium design and top notch finish,Neutral,neutral,0.6,0.6
absolutely loved this product,Positive,joy,0.85,0.8
satisfactory but could be improved,Neutral,neutral,0.6,0.6
average build quality works fine,Neutral,neutral,0.6,0.6
decent for basic use,Neutral,neutral,0.6,0.6
premium design and top notch finish,Neutral,neutral,0.6,0.6
standard item no major issues,Neutral,neutral,0.6,0.6
rude customer service and no help,Neutral,neutral,0.6,0.6
neutral experience overall,Neutral,neutral,0.6,0.6
worst product i ever bought,Negative,sadness,0.82,0.78
stopped working within a few days,Neutral,neutral,0.6,0.6
average build quality works fine,Neutral,neutral,0.6,0.6
terrible quality very disappointed,Negative,sadness,0.82,0.78
absolutely loved this product,Positive,joy,0.85,0.8
exceeded expectations in all aspects,Neutral,neutral,0.6,0.6
performs as expected for the price,Neutral,neutral,0.6,0.6
terrible quality very disappointed,Negative,sadness,0.82,0.78
very slow performance and laggy,Neutral,neutral,0.6,0.6
fantastic experience highly recommended,Neutral,neutral,0.6,0.6
terrible quality very disappointed,Negative,sadness,0.82,0.78
absolutely loved this product,Positive,joy,0.85,0.8
the product is okay nothing special,Neutral,neutral,0.6,0.6
satisfactory but could be improved,Neutral,neutral,0.6,0.6
cheap build not worth the price,Neutral,neutral,0.6,0.6
amazing quality and excellent performance,Positive,joy,0.85,0.8
not too good not too bad,Negative,sadness,0.82,0.78
average build quality works fine,Neutral,neutral,0.6,0.6
satisfactory but could be improved,Neutral,neutral,0.6,0.6
satisfactory but could be improved,Neutral,neutral,0.6,0.6
cheap build not worth the price,Neutral,neutral,0.6,0.6
not too good not too bad,Negative,sadness,0.82,0.78
premium design and top notch finish,Neutral,neutral,0.6,0.6
battery lasts very long super impressed,Neutral,neutral,0.6,0.6
neutral experience overall,Neutral,neutral,0.6,0.6
very slow performance and laggy,Neutral,neutral,0.6,0.6
rude customer service and no help,Neutral,neutral,0.6,0.6
battery lasts very long super impressed,Neutral,neutral,0.6,0.6
i regret buying this so much,Neutral,neutral,0.6,0.6
not too good not too bad,Negative,sadness,0.82,0.78
fantastic experience highly recommended,Neutral,neutral,0.6,0.6
not too good not too bad,Negative,sadness,0.82,0.78
i regret buying this so much,Neutral,neutral,0.6,0.6
absolutely loved this product,Positive,joy,0.85,0.8
premium design and top notch finish,Neutral,neutral,0.6,0.6
terrible quality very disappointed,Negative,sadness,0.82,0.78
not too good not too bad,Negative,sadness,0.82,0.78
battery drains too fast and heats badly,Negative,sadness,0.82,0.78
standard item no major issues,Neutral,neutral,0.6,0.6
cheap build not worth the price,Neutral,neutral,0.6,0.6
exceeded expectations in all aspects,Neutral,neutral,0.6,0.6
cheap build not worth the price,Neutral,neutral,0.6,0.6
amazing quality and excellent performance,Positive,joy,0.85,0.8
absolutely loved this product,Positive,joy,0.85,0.8
average build quality works fine,Neutral,neutral,0.6,0.6
amazing quality and excellent performance,Positive,joy,0.85,0.8
absolutely loved this product,Positive,joy,0.85,0.8
worst product i ever bought,Negative,sadness,0.82,0.78
neutral experience overall,Neutral,neutral,0.6,0.6
decent for basic use,Neutral,neutral,0.6,0.6
i regret buying this so much,Neutral,neutral,0.6,0.6
cheap build not worth the price,Neutral,neutral,0.6,0.6
satisfactory but could be improved,Neutral,neutral,0.6,0.6
exceeded expectations in all aspects,Neutral,neutral,0.6,0.6
worth every penny very satisfied,Neutral,neutral,0.6,0.6
decent for basic use,Neutral,neutral,0.6,0.6
premium design and top notch finish,Neutral,neutral,0.6,0.6
standard item no major issues,Neutral,neutral,0.6,0.6
amazing quality and excellent performance,Positive,joy,0.85,0.8
cheap build not worth the price,Neutral,neutral,0.6,0.6
battery lasts very long super impressed,Neutral,neutral,0.6,0.6
average build quality works fine,Neutral,neutral,0.6,0.6
i regret buying this so much,Neutral,neutral,0.6,0.6
not too good not too bad,Negative,sadness,0.82,0.78
