review_id,review_text,aspect,sentiment,cleaned_text
1,The camera quality of this phone is amazing but the battery drains fast.,camera,positive,the camera quality of this phone is amazing but the battery drains fast
2,"Battery life is terrible, but the display is bright and sharp.",battery,negative,battery life is terrible but the display is bright and sharp
3,"The laptop performance is smooth, but the fan noise is too loud.",performance,positive,the laptop performance is smooth but the fan noise is too loud
4,"I love the sound quality of these headphones, but the build feels cheap.",sound,positive,i love the sound quality of these headphones but the build feels cheap
5,The delivery was super fast but the packaging was damaged.,delivery,positive,the delivery was super fast but the packaging was damaged
6,Customer service was very rude and unhelpful.,customer_service,negative,customer service was very rude and unhelpful
7,The food tasted great but the portion size was very small.,taste,positive,the food tasted great but the portion size was very small
8,The hotel room was clean but the Wi-Fi was extremely slow.,wifi,negative,the hotel room was clean but the wi fi was extremely slow
9,"The product quality is top-notch, completely satisfied.",quality,positive,the product quality is top notch completely satisfied
10,The price is too high for the level of features offered.,price,negative,the price is too high for the level of features offered
11,The user interface is simple and easy to use.,ui,positive,the user interface is simple and easy to use
12,The shoes are comfortable but the color fades quickly.,durability,negative,the shoes are comfortable but the color fades quickly
13,The watch design is elegant and stylish.,design,positive,the watch design is elegant and stylish
14,The app keeps crashing again and again.,stability,negative,the app keeps crashing again and again
15,Vegetables were fresh and well packed.,freshness,positive,vegetables were fresh and well packed
16,The charger heats up too much while using.,safety,negative,the charger heats up too much while using
17,"Good value for money, really worth it.",value,positive,good value for money really worth it
18,The keyboard keys stopped working within a week.,reliability,negative,the keyboard keys stopped working within a week
19,The fragrance of this perfume lasts all day.,longevity,positive,the fragrance of this perfume lasts all day
20,The TV remote is unresponsive and laggy.,usability,negative,the tv remote is unresponsive and laggy
