text,cleaned_text
The service was terrible.,the service was terrible
I'm not sure how I feel about this.,i m not sure how i feel about this
This made my day so much better.,this made my day so much better
Absolutely fantastic quality!,absolutely fantastic quality
I am extremely disappointed.,i am extremely disappointed
This made my day so much better.,this made my day so much better
This made my day so much better.,this made my day so much better
"I love this product, it's amazing!",i love this product it s amazing
I feel happy today.,i feel happy today
"It was okay, nothing special.",it was okay nothing special
"It was okay, nothing special.",it was okay nothing special
"I love this product, it's amazing!",i love this product it s amazing
This is the worst experience I’ve had.,this is the worst experience i ve had
This made my day so much better.,this made my day so much better
I feel happy today.,i feel happy today
"I love this product, it's amazing!",i love this product it s amazing
Absolutely fantastic quality!,absolutely fantastic quality
Best purchase ever!,best purchase ever
Best purchase ever!,best purchase ever
This made my day so much better.,this made my day so much better
This is the worst experience I’ve had.,this is the worst experience i ve had
Best purchase ever!,best purchase ever
I am extremely disappointed.,i am extremely disappointed
"I love this product, it's amazing!",i love this product it s amazing
I feel happy today.,i feel happy today
I feel happy today.,i feel happy today
This is the worst experience I’ve had.,this is the worst experience i ve had
Best purchase ever!,best purchase ever
"I love this product, it's amazing!",i love this product it s amazing
Best purchase ever!,best purchase ever
This made my day so much better.,this made my day so much better
Absolutely fantastic quality!,absolutely fantastic quality
This is the worst experience I’ve had.,this is the worst experience i ve had
Absolutely fantastic quality!,absolutely fantastic quality
This is the worst experience I’ve had.,this is the worst experience i ve had
This made my day so much better.,this made my day so much better
I'm not sure how I feel about this.,i m not sure how i feel about this
The service was terrible.,the service was terrible
This is the worst experience I’ve had.,this is the worst experience i ve had
The service was terrible.,the service was terrible
I feel happy today.,i feel happy today
I feel happy today.,i feel happy today
This made my day so much better.,this made my day so much better
"It was okay, nothing special.",it was okay nothing special
I am extremely disappointed.,i am extremely disappointed
The service was terrible.,the service was terrible
"I love this product, it's amazing!",i love this product it s amazing
"It was okay, nothing special.",it was okay nothing special
This made my day so much better.,this made my day so much better
This made my day so much better.,this made my day so much better
Best purchase ever!,best purchase ever
This is the worst experience I’ve had.,this is the worst experience i ve had
I feel happy today.,i feel happy today
I am extremely disappointed.,i am extremely disappointed
This is the worst experience I’ve had.,this is the worst experience i ve had
I'm not sure how I feel about this.,i m not sure how i feel about this
I am extremely disappointed.,i am extremely disappointed
"I love this product, it's amazing!",i love this product it s amazing
This is the worst experience I’ve had.,this is the worst experience i ve had
Best purchase ever!,best purchase ever
I'm not sure how I feel about this.,i m not sure how i feel about this
I feel happy today.,i feel happy today
I am extremely disappointed.,i am extremely disappointed
I am extremely disappointed.,i am extremely disappointed
This made my day so much better.,this made my day so much better
I am extremely disappointed.,i am extremely disappointed
This is the worst experience I’ve had.,this is the worst experience i ve had
Absolutely fantastic quality!,absolutely fantastic quality
I feel happy today.,i feel happy today
"I love this product, it's amazing!",i love this product it s amazing
Best purchase ever!,best purchase ever
I am extremely disappointed.,i am extremely disappointed
"It was okay, nothing special.",it was okay nothing special
This is the worst experience I’ve had.,this is the worst experience i ve had
The service was terrible.,the service was terrible
Absolutely fantastic quality!,absolutely fantastic quality
"I love this product, it's amazing!",i love this product it s amazing
"I love this product, it's amazing!",i love this product it s amazing
I'm not sure how I feel about this.,i m not sure how i feel about this
This made my day so much better.,this made my day so much better
Absolutely fantastic quality!,absolutely fantastic quality
The service was terrible.,the service was terrible
"It was okay, nothing special.",it was okay nothing special
I am extremely disappointed.,i am extremely disappointed
I'm not sure how I feel about this.,i m not sure how i feel about this
I'm not sure how I feel about this.,i m not sure how i feel about this
This made my day so much better.,this made my day so much better
I'm not sure how I feel about this.,i m not sure how i feel about this
The service was terrible.,the service was terrible
"It was okay, nothing special.",it was okay nothing special
I am extremely disappointed.,i am extremely disappointed
I'm not sure how I feel about this.,i m not sure how i feel about this
"I love this product, it's amazing!",i love this product it s amazing
Absolutely fantastic quality!,absolutely fantastic quality
This is the worst experience I’ve had.,this is the worst experience i ve had
I am extremely disappointed.,i am extremely disappointed
I'm not sure how I feel about this.,i m not sure how i feel about this
The service was terrible.,the service was terrible
This made my day so much better.,this made my day so much better
"I love this product, it's amazing!",i love this product it s amazing
I am extremely disappointed.,i am extremely disappointed
Best purchase ever!,best purchase ever
I'm not sure how I feel about this.,i m not sure how i feel about this
I am extremely disappointed.,i am extremely disappointed
The service was terrible.,the service was terrible
This made my day so much better.,this made my day so much better
I'm not sure how I feel about this.,i m not sure how i feel about this
"It was okay, nothing special.",it was okay nothing special
Absolutely fantastic quality!,absolutely fantastic quality
This made my day so much better.,this made my day so much better
Best purchase ever!,best purchase ever
Absolutely fantastic quality!,absolutely fantastic quality
This is the worst experience I’ve had.,this is the worst experience i ve had
"I love this product, it's amazing!",i love this product it s amazing
I am extremely disappointed.,i am extremely disappointed
This made my day so much better.,this made my day so much better
I feel happy today.,i feel happy today
"It was okay, nothing special.",it was okay nothing special
I feel happy today.,i feel happy today
This made my day so much better.,this made my day so much better
The service was terrible.,the service was terrible
This made my day so much better.,this made my day so much better
I am extremely disappointed.,i am extremely disappointed
I feel happy today.,i feel happy today
Best purchase ever!,best purchase ever
"It was okay, nothing special.",it was okay nothing special
This made my day so much better.,this made my day so much better
I am extremely disappointed.,i am extremely disappointed
I'm not sure how I feel about this.,i m not sure how i feel about this
I feel happy today.,i feel happy today
"I love this product, it's amazing!",i love this product it s amazing
I feel happy today.,i feel happy today
Best purchase ever!,best purchase ever
The service was terrible.,the service was terrible
"It was okay, nothing special.",it was okay nothing special
Absolutely fantastic quality!,absolutely fantastic quality
This is the worst experience I’ve had.,this is the worst experience i ve had
I'm not sure how I feel about this.,i m not sure how i feel about this
This made my day so much better.,this made my day so much better
The service was terrible.,the service was terrible
"I love this product, it's amazing!",i love this product it s amazing
"It was okay, nothing special.",it was okay nothing special
I am extremely disappointed.,i am extremely disappointed
Absolutely fantastic quality!,absolutely fantastic quality
"I love this product, it's amazing!",i love this product it s amazing
Best purchase ever!,best purchase ever
"I love this product, it's amazing!",i love this product it s amazing
"It was okay, nothing special.",it was okay nothing special
I feel happy today.,i feel happy today
Best purchase ever!,best purchase ever
Best purchase ever!,best purchase ever
"I love this product, it's amazing!",i love this product it s amazing
I'm not sure how I feel about this.,i m not sure how i feel about this
Best purchase ever!,best purchase ever
I'm not sure how I feel about this.,i m not sure how i feel about this
I am extremely disappointed.,i am extremely disappointed
This made my day so much better.,this made my day so much better
"I love this product, it's amazing!",i love this product it s amazing
I feel happy today.,i feel happy today
"It was okay, nothing special.",it was okay nothing special
I am extremely disappointed.,i am extremely disappointed
I am extremely disappointed.,i am extremely disappointed
"I love this product, it's amazing!",i love this product it s amazing
This is the worst experience I’ve had.,this is the worst experience i ve had
"I love this product, it's amazing!",i love this product it s amazing
This made my day so much better.,this made my day so much better
Absolutely fantastic quality!,absolutely fantastic quality
