cleaned_text,sentiment,emotion,sentiment_conf,emotion_conf
colors on the screen look washed out,Neutral,neutral,0.6,0.6
battery heats up during gaming sessions smooth display experience because of high refresh rate,Neutral,neutral,0.6,0.6
battery heats up during gaming sessions the display is bright and vibrant,Neutral,neutral,0.6,0.6
performance is super smooth with no lag battery backup is solid and lasts all day,Neutral,neutral,0.6,0.6
camera tends to overexpose images sometimes display feels dim under sunlight,Neutral,neutral,0.6,0.6
battery heats up during gaming sessions,Neutral,neutral,0.6,0.6
camera quality is mediocre especially indoors performance is super smooth with no lag charging is slow compared to competitors,Neutral,neutral,0.6,0.6
sound crackles at high volume,Neutral,neutral,0.6,0.6
the display is bright and vibrant phone design is sleek and comfortable to hold camera tends to overexpose images sometimes,Neutral,neutral,0.6,0.6
camera tends to overexpose images sometimes call quality is excellent multitasking works flawlessly,Neutral,neutral,0.6,0.6
display feels dim under sunlight camera tends to overexpose images sometimes,Neutral,neutral,0.6,0.6
night mode camera shots look impressive,Neutral,neutral,0.6,0.6
night mode camera shots look impressive colors on the screen look washed out,Neutral,neutral,0.6,0.6
night mode camera shots look impressive,Neutral,neutral,0.6,0.6
build quality feels premium and sturdy,Neutral,neutral,0.6,0.6
smooth display experience because of high refresh rate,Neutral,neutral,0.6,0.6
charging is slow compared to competitors multitasking works flawlessly the camera performs exceptionally well in daylight,Neutral,neutral,0.6,0.6
battery drains faster than expected,Neutral,neutral,0.6,0.6
display feels dim under sunlight,Neutral,neutral,0.6,0.6
phone design is sleek and comfortable to hold phone lags when running heavy apps,Neutral,neutral,0.6,0.6
call quality is excellent,Neutral,neutral,0.6,0.6
audio output is weak and lacks bass night mode camera shots look impressive phone design is sleek and comfortable to hold,Neutral,neutral,0.6,0.6
gaming performance is average feels slightly bulky in hand,Neutral,neutral,0.6,0.6
phone design is sleek and comfortable to hold smooth display experience because of high refresh rate battery backup is solid and lasts all day,Neutral,neutral,0.6,0.6
the display is bright and vibrant,Neutral,neutral,0.6,0.6
phone lags when running heavy apps,Neutral,neutral,0.6,0.6
gaming performance is average battery backup is solid and lasts all day,Neutral,neutral,0.6,0.6
the back panel attracts fingerprints easily camera tends to overexpose images sometimes,Neutral,neutral,0.6,0.6
smooth display experience because of high refresh rate charging is slow compared to competitors multitasking works flawlessly,Neutral,neutral,0.6,0.6
battery drains faster than expected camera quality is mediocre especially indoors audio output is weak and lacks bass,Neutral,neutral,0.6,0.6
the camera performs exceptionally well in daylight performance is super smooth with no lag speakers are loud and clear,Neutral,neutral,0.6,0.6
feels slightly bulky in hand,Neutral,neutral,0.6,0.6
the display is bright and vibrant,Neutral,neutral,0.6,0.6
display feels dim under sunlight performance is super smooth with no lag,Neutral,neutral,0.6,0.6
charging is slow compared to competitors the back panel attracts fingerprints easily call quality is excellent,Neutral,neutral,0.6,0.6
smooth display experience because of high refresh rate gaming performance is average,Neutral,neutral,0.6,0.6
the camera performs exceptionally well in daylight the back panel attracts fingerprints easily call quality is excellent,Neutral,neutral,0.6,0.6
night mode camera shots look impressive display feels dim under sunlight gaming performance is average,Neutral,neutral,0.6,0.6
the camera performs exceptionally well in daylight,Neutral,neutral,0.6,0.6
battery drains faster than expected audio output is weak and lacks bass,Neutral,neutral,0.6,0.6
the camera performs exceptionally well in daylight,Neutral,neutral,0.6,0.6
sound crackles at high volume display feels dim under sunlight build quality feels premium and sturdy,Neutral,neutral,0.6,0.6
colors on the screen look washed out build quality feels premium and sturdy speakers are loud and clear,Neutral,neutral,0.6,0.6
battery heats up during gaming sessions feels slightly bulky in hand performance is super smooth with no lag,Neutral,neutral,0.6,0.6
camera tends to overexpose images sometimes battery heats up during gaming sessions audio output is weak and lacks bass,Neutral,neutral,0.6,0.6
performance is super smooth with no lag speakers are loud and clear,Neutral,neutral,0.6,0.6
feels slightly bulky in hand,Neutral,neutral,0.6,0.6
display feels dim under sunlight sound crackles at high volume feels slightly bulky in hand,Neutral,neutral,0.6,0.6
camera tends to overexpose images sometimes phone design is sleek and comfortable to hold performance is super smooth with no lag,Neutral,neutral,0.6,0.6
display feels dim under sunlight the back panel attracts fingerprints easily,Neutral,neutral,0.6,0.6
multitasking works flawlessly night mode camera shots look impressive,Neutral,neutral,0.6,0.6
multitasking works flawlessly charging is slow compared to competitors the camera performs exceptionally well in daylight,Neutral,neutral,0.6,0.6
the display is bright and vibrant,Neutral,neutral,0.6,0.6
call quality is excellent,Neutral,neutral,0.6,0.6
phone design is sleek and comfortable to hold,Neutral,neutral,0.6,0.6
speakers are loud and clear build quality feels premium and sturdy,Neutral,neutral,0.6,0.6
speakers are loud and clear night mode camera shots look impressive the back panel attracts fingerprints easily,Neutral,neutral,0.6,0.6
the display is bright and vibrant gaming performance is average,Neutral,neutral,0.6,0.6
