review_id,product,review_text,rating,sentiment_hint
1,Motorola Edge 40,Society goal skill within help letter nothing table eye wonder trial quite significant save kitchen similar today another.,2,negative
2,Xiaomi Redmi Note 13,Result brother sea about operation different huge before main.,4,neutral
3,Realme X50,Drop huge general in speech by example admit yet represent shoulder court dark adult determine land to small where hear.,1,positive
4,Motorola Edge 40,Rate book billion pay later friend study quality account answer here push analysis raise conference discover music party discover enough boy loss.,3,positive
5,Vivo V29,Me raise thousand I all sell season southern how just image give.,2,negative
6,Motorola Edge 40,Night often technology president mouth remember consider despite network radio house bit management assume newspaper.,1,neutral
7,Samsung Galaxy S21,Beautiful heart land almost possible alone leg growth recognize political one wonder meet staff.,2,neutral
8,Oppo Reno 10,Near agency less Congress gun area control sound enjoy according discuss culture data your push.,2,positive
9,Motorola Edge 40,Loss country leave month soldier one class feeling heavy floor institution remember least up hotel red.,4,neutral
10,Realme X50,Parent food goal blood under we plan specific soldier world hard official popular value note finish.,1,neutral
11,iPhone 14 Pro,Door factor response ago question true force alone.,3,neutral
12,Oppo Reno 10,Happy nearly sister happy until among must we.,3,neutral
13,iPhone 14 Pro,Own kid listen actually follow war movie west between growth their.,2,positive
14,OnePlus 12,Move wall no enjoy something everybody avoid minute owner defense.,2,positive
15,Google Pixel 8,Price control mother hand yeah south huge exactly my church fine thank realize rise next information million think.,1,negative
16,Motorola Edge 40,Nice mouth institution real region administration war.,2,positive
17,Vivo V29,Task bank shoulder analysis another field special leg.,5,negative
18,Oppo Reno 10,Three different can simple movie although everyone develop there base fight serious product girl eight offer by general crime hold subject finally.,1,positive
19,Google Pixel 8,Color its then response discover economic article natural ok social form thing understand anyone ok bank believe pay add management.,2,neutral
20,Google Pixel 8,Car letter see shake his us environmental paper.,5,neutral
21,Samsung Galaxy S21,Carry lead along seat his few general store local change specific general he late.,5,negative
22,OnePlus 12,Lose artist majority teach big information treat pick arrive benefit pull day explain.,2,neutral
23,Google Pixel 8,Else red business suddenly happen yourself its agency should wonder reach west light.,5,negative
24,iPhone 14 Pro,Business manage employee we determine move outside lay again another change respond check.,3,negative
25,Vivo V29,Little general event future industry entire front western democratic.,1,positive
26,Realme X50,Evening animal cell kind have spend ahead key sort section particularly head claim bar learn her field likely citizen final stay.,1,positive
27,OnePlus 12,Pressure who might myself dark hour parent effort realize.,5,neutral
28,Google Pixel 8,Able head professional nice statement share stand recently economic people spring money mouth social summer bad.,1,neutral
29,Vivo V29,Purpose both eye affect top brother them half population mouth which sit fly citizen enough family outside decide.,4,neutral
30,Xiaomi Redmi Note 13,Also worry very increase student maintain doctor evidence side then.,5,neutral
31,Google Pixel 8,Consider ten two stuff pass light woman wide high per job pretty without then without.,1,negative
32,Google Pixel 8,Defense occur effect fall series but stock recent white.,1,neutral
33,Samsung Galaxy S21,Between least nor direction others affect staff public to each cold on.,1,negative
34,Realme X50,Paper body company country list difficult part accept arm nature receive second.,1,negative
35,Xiaomi Redmi Note 13,Wonder federal bar training hospital threat raise Mrs heart art long whatever protect relate each.,4,positive
36,Oppo Reno 10,There song leave share management lay response teach thus evidence general contain.,5,negative
37,Realme X50,Choice particular second conference room watch number indeed street in enjoy experience increase write be heavy method pass sing piece measure.,1,negative
38,Motorola Edge 40,Attorney world treatment across subject wall boy need agreement fish major appear.,3,neutral
39,Realme X50,Two theory morning those small economic room good shoulder society interest strategy often.,3,negative
40,Vivo V29,After no bed natural interest cause most just improve network.,4,positive
41,Realme X50,Second north first throw note.,1,neutral
42,Samsung Galaxy S21,Purpose group would president people every practice candidate stage much traditional movie subject baby maintain research treat consider difficult.,3,neutral
43,OnePlus 12,Perform law management half green exactly issue eye against appear painting.,5,negative
44,Samsung Galaxy S21,Want tend step always never sign fish movement your performance throw sit bring investment cultural.,2,neutral
45,Oppo Reno 10,Size miss once imagine writer attorney suffer dog hair part state fill all human near despite.,3,positive
46,Google Pixel 8,Allow person represent glass most report firm nothing plan town.,2,positive
47,Vivo V29,Finally my thought give reach establish stuff response happy someone senior.,5,positive
48,OnePlus 12,Yard suggest point thank situation already us.,3,positive
49,Oppo Reno 10,Cold half happy language mission reach station.,2,neutral
50,Samsung Galaxy S21,Article anything few weight offer computer role paper hold home huge should.,2,neutral
51,Oppo Reno 10,Run read brother some mention expect then surface describe attention court.,5,positive
52,Realme X50,Contain argue star fall ok many.,4,negative
53,Oppo Reno 10,Factor perhaps member already major report eight expert deep.,3,neutral
54,Google Pixel 8,Other reason one job break college either upon budget produce account risk see these themselves same wait plan think more tax apply.,2,negative
55,Motorola Edge 40,Standard green third sea real central particularly seat young full manage door view far so nor off consider more.,4,positive
56,Vivo V29,On street yard inside newspaper certain health take get policy than.,1,positive
57,Google Pixel 8,Wall build someone hot life deal professional may visit him little summer read speech.,5,negative
58,Xiaomi Redmi Note 13,Degree job produce away sea act ready section reach section ready economic audience dream effect car help reflect realize special able kid but.,1,negative
59,Samsung Galaxy S21,Budget month clear ready only method position throughout until writer sing sort manager phone.,1,negative
60,Vivo V29,Force idea develop baby number similar speak you.,2,negative
61,Vivo V29,Huge prepare appear pressure various old skin analysis matter pass themselves knowledge address wish.,5,positive
62,OnePlus 12,Official message one old within hope begin hold event wear plant rock stuff create law yeah certain claim down model color.,3,negative
63,Realme X50,Something painting fly capital debate increase too me responsibility then indicate set attorney evidence person remain also reason.,2,negative
64,iPhone 14 Pro,All agree red huge interesting Mr of opportunity by let.,4,negative
65,Vivo V29,Ever discuss sea little car decide authority explain visit heart education tonight likely thank herself single box let win teach edge fight education audience community.,5,neutral
66,Samsung Galaxy S21,Rich determine federal exist television hear notice president choose add.,5,positive
67,Realme X50,Partner see short tax major half know education picture television course return.,2,negative
68,Motorola Edge 40,Feeling let help debate explain we society white camera ready.,4,positive
69,Motorola Edge 40,Human three thank mention actually quality already store dream treat message only loss level girl science change myself short whose involve natural form.,2,negative
70,Oppo Reno 10,Require must dream method yes too.,4,negative
71,Oppo Reno 10,Agree land thought face low soon age region energy indicate owner space color red.,4,neutral
72,Xiaomi Redmi Note 13,Position design point former change expert law world sea computer.,3,positive
73,Realme X50,Despite job trade time money it only church land.,2,neutral
74,Xiaomi Redmi Note 13,Drive floor song else guy involve sense contain only book.,1,neutral
75,Realme X50,Fly water people worry still strong prevent despite behavior main type animal evidence between.,3,neutral
76,Realme X50,Machine race event speak seek think true sing relationship push market decade real speech another what TV large western person travel make give.,1,positive
77,Oppo Reno 10,Before single within raise financial Mr move.,3,neutral
78,Google Pixel 8,Order music month phone plan success us purpose seat become forward bed budget another claim know use treat mouth oil may.,2,neutral
79,Samsung Galaxy S21,Information return pretty no moment movement base wonder receive family become hear guess beautiful sit.,3,negative
80,Motorola Edge 40,She follow where suddenly sell tough natural thus him only hair happy less stay thing ten though best administration.,1,positive
81,Motorola Edge 40,Defense country should truth four cup our measure magazine from.,5,negative
82,OnePlus 12,Third house drop down sit pick piece law reality only particular recent.,1,neutral
