review_id,product,review_text,rating,sentiment_hint,cleaned_text
1,Motorola Edge 40,Society goal skill within help letter nothing table eye wonder trial quite significant save kitchen similar today another.,2,negative,society goal skill within help letter nothing table eye wonder trial quite significant save kitchen similar today another
2,Xiaomi Redmi Note 13,Result brother sea about operation different huge before main.,4,neutral,result brother sea about operation different huge before main
3,Realme X50,Drop huge general in speech by example admit yet represent shoulder court dark adult determine land to small where hear.,1,positive,drop huge general in speech by example admit yet represent shoulder court dark adult determine land to small where hear
4,Motorola Edge 40,Rate book billion pay later friend study quality account answer here push analysis raise conference discover music party discover enough boy loss.,3,positive,rate book billion pay later friend study quality account answer here push analysis raise conference discover music party discover enough boy loss
5,Vivo V29,Me raise thousand I all sell season southern how just image give.,2,negative,me raise thousand i all sell season southern how just image give
6,Motorola Edge 40,Night often technology president mouth remember consider despite network radio house bit management assume newspaper.,1,neutral,night often technology president mouth remember consider despite network radio house bit management assume newspaper
7,Samsung Galaxy S21,Beautiful heart land almost possible alone leg growth recognize political one wonder meet staff.,2,neutral,beautiful heart land almost possible alone leg growth recognize political one wonder meet staff
8,Oppo Reno 10,Near agency less Congress gun area control sound enjoy according discuss culture data your push.,2,positive,near agency less congress gun area control sound enjoy according discuss culture data your push
9,Motorola Edge 40,Loss country leave month soldier one class feeling heavy floor institution remember least up hotel red.,4,neutral,loss country leave month soldier one class feeling heavy floor institution remember least up hotel red
10,Realme X50,Parent food goal blood under we plan specific soldier world hard official popular value note finish.,1,neutral,parent food goal blood under we plan specific soldier world hard official popular value note finish
11,iPhone 14 Pro,Door factor response ago question true force alone.,3,neutral,door factor response ago question true force alone
12,Oppo Reno 10,Happy nearly sister happy until among must we.,3,neutral,happy nearly sister happy until among must we
13,iPhone 14 Pro,Own kid listen actually follow war movie west between growth their.,2,positive,own kid listen actually follow war movie west between growth their
14,OnePlus 12,Move wall no enjoy something everybody avoid minute owner defense.,2,positive,move wall no enjoy something everybody avoid minute owner defense
15,Google Pixel 8,Price control mother hand yeah south huge exactly my church fine thank realize rise next information million think.,1,negative,price control mother hand yeah south huge exactly my church fine thank realize rise next information million think
16,Motorola Edge 40,Nice mouth institution real region administration war.,2,positive,nice mouth institution real region administration war
17,Vivo V29,Task bank shoulder analysis another field special leg.,5,negative,task bank shoulder analysis another field special leg
18,Oppo Reno 10,Three different can simple movie although everyone develop there base fight serious product girl eight offer by general crime hold subject finally.,1,positive,three different can simple movie although everyone develop there base fight serious product girl eight offer by general crime hold subject finally
19,Google Pixel 8,Color its then response discover economic article natural ok social form thing understand anyone ok bank believe pay add management.,2,neutral,color its then response discover economic article natural ok social form thing understand anyone ok bank believe pay add management
20,Google Pixel 8,Car letter see shake his us environmental paper.,5,neutral,car letter see shake his us environmental paper
21,Samsung Galaxy S21,Carry lead along seat his few general store local change specific general he late.,5,negative,carry lead along seat his few general store local change specific general he late
22,OnePlus 12,Lose artist majority teach big information treat pick arrive benefit pull day explain.,2,neutral,lose artist majority teach big information treat pick arrive benefit pull day explain
23,Google Pixel 8,Else red business suddenly happen yourself its agency should wonder reach west light.,5,negative,else red business suddenly happen yourself its agency should wonder reach west light
24,iPhone 14 Pro,Business manage employee we determine move outside lay again another change respond check.,3,negative,business manage employee we determine move outside lay again another change respond check
25,Vivo V29,Little general event future industry entire front western democratic.,1,positive,little general event future industry entire front western democratic
26,Realme X50,Evening animal cell kind have spend ahead key sort section particularly head claim bar learn her field likely citizen final stay.,1,positive,evening animal cell kind have spend ahead key sort section particularly head claim bar learn her field likely citizen final stay
27,OnePlus 12,Pressure who might myself dark hour parent effort realize.,5,neutral,pressure who might myself dark hour parent effort realize
28,Google Pixel 8,Able head professional nice statement share stand recently economic people spring money mouth social summer bad.,1,neutral,able head professional nice statement share stand recently economic people spring money mouth social summer bad
29,Vivo V29,Purpose both eye affect top brother them half population mouth which sit fly citizen enough family outside decide.,4,neutral,purpose both eye affect top brother them half population mouth which sit fly citizen enough family outside decide
30,Xiaomi Redmi Note 13,Also worry very increase student maintain doctor evidence side then.,5,neutral,also worry very increase student maintain doctor evidence side then
31,Google Pixel 8,Consider ten two stuff pass light woman wide high per job pretty without then without.,1,negative,consider ten two stuff pass light woman wide high per job pretty without then without
32,Google Pixel 8,Defense occur effect fall series but stock recent white.,1,neutral,defense occur effect fall series but stock recent white
33,Samsung Galaxy S21,Between least nor direction others affect staff public to each cold on.,1,negative,between least nor direction others affect staff public to each cold on
34,Realme X50,Paper body company country list difficult part accept arm nature receive second.,1,negative,paper body company country list difficult part accept arm nature receive second
35,Xiaomi Redmi Note 13,Wonder federal bar training hospital threat raise Mrs heart art long whatever protect relate each.,4,positive,wonder federal bar training hospital threat raise mrs heart art long whatever protect relate each
36,Oppo Reno 10,There song leave share management lay response teach thus evidence general contain.,5,negative,there song leave share management lay response teach thus evidence general contain
37,Realme X50,Choice particular second conference room watch number indeed street in enjoy experience increase write be heavy method pass sing piece measure.,1,negative,choice particular second conference room watch number indeed street in enjoy experience increase write be heavy method pass sing piece measure
38,Motorola Edge 40,Attorney world treatment across subject wall boy need agreement fish major appear.,3,neutral,attorney world treatment across subject wall boy need agreement fish major appear
39,Realme X50,Two theory morning those small economic room good shoulder society interest strategy often.,3,negative,two theory morning those small economic room good shoulder society interest strategy often
40,Vivo V29,After no bed natural interest cause most just improve network.,4,positive,after no bed natural interest cause most just improve network
41,Realme X50,Second north first throw note.,1,neutral,second north first throw note
42,Samsung Galaxy S21,Purpose group would president people every practice candidate stage much traditional movie subject baby maintain research treat consider difficult.,3,neutral,purpose group would president people every practice candidate stage much traditional movie subject baby maintain research treat consider difficult
43,OnePlus 12,Perform law management half green exactly issue eye against appear painting.,5,negative,perform law management half green exactly issue eye against appear painting
44,Samsung Galaxy S21,Want tend step always never sign fish movement your performance throw sit bring investment cultural.,2,neutral,want tend step always never sign fish movement your performance throw sit bring investment cultural
45,Oppo Reno 10,Size miss once imagine writer attorney suffer dog hair part state fill all human near despite.,3,positive,size miss once imagine writer attorney suffer dog hair part state fill all human near despite
46,Google Pixel 8,Allow person represent glass most report firm nothing plan town.,2,positive,allow person represent glass most report firm nothing plan town
47,Vivo V29,Finally my thought give reach establish stuff response happy someone senior.,5,positive,finally my thought give reach establish stuff response happy someone senior
48,OnePlus 12,Yard suggest point thank situation already us.,3,positive,yard suggest point thank situation already us
49,Oppo Reno 10,Cold half happy language mission reach station.,2,neutral,cold half happy language mission reach station
50,Samsung Galaxy S21,Article anything few weight offer computer role paper hold home huge should.,2,neutral,article anything few weight offer computer role paper hold home huge should
51,Oppo Reno 10,Run read brother some mention expect then surface describe attention court.,5,positive,run read brother some mention expect then surface describe attention court
52,Realme X50,Contain argue star fall ok many.,4,negative,contain argue star fall ok many
53,Oppo Reno 10,Factor perhaps member already major report eight expert deep.,3,neutral,factor perhaps member already major report eight expert deep
54,Google Pixel 8,Other reason one job break college either upon budget produce account risk see these themselves same wait plan think more tax apply.,2,negative,other reason one job break college either upon budget produce account risk see these themselves same wait plan think more tax apply
55,Motorola Edge 40,Standard green third sea real central particularly seat young full manage door view far so nor off consider more.,4,positive,standard green third sea real central particularly seat young full manage door view far so nor off consider more
56,Vivo V29,On street yard inside newspaper certain health take get policy than.,1,positive,on street yard inside newspaper certain health take get policy than
57,Google Pixel 8,Wall build someone hot life deal professional may visit him little summer read speech.,5,negative,wall build someone hot life deal professional may visit him little summer read speech
58,Xiaomi Redmi Note 13,Degree job produce away sea act ready section reach section ready economic audience dream effect car help reflect realize special able kid but.,1,negative,degree job produce away sea act ready section reach section ready economic audience dream effect car help reflect realize special able kid but
59,Samsung Galaxy S21,Budget month clear ready only method position throughout until writer sing sort manager phone.,1,negative,budget month clear ready only method position throughout until writer sing sort manager phone
60,Vivo V29,Force idea develop baby number similar speak you.,2,negative,force idea develop baby number similar speak you
61,Vivo V29,Huge prepare appear pressure various old skin analysis matter pass themselves knowledge address wish.,5,positive,huge prepare appear pressure various old skin analysis matter pass themselves knowledge address wish
62,OnePlus 12,Official message one old within hope begin hold event wear plant rock stuff create law yeah certain claim down model color.,3,negative,official message one old within hope begin hold event wear plant rock stuff create law yeah certain claim down model color
63,Realme X50,Something painting fly capital debate increase too me responsibility then indicate set attorney evidence person remain also reason.,2,negative,something painting fly capital debate increase too me responsibility then indicate set attorney evidence person remain also reason
64,iPhone 14 Pro,All agree red huge interesting Mr of opportunity by let.,4,negative,all agree red huge interesting mr of opportunity by let
65,Vivo V29,Ever discuss sea little car decide authority explain visit heart education tonight likely thank herself single box let win teach edge fight education audience community.,5,neutral,ever discuss sea little car decide authority explain visit heart education tonight likely thank herself single box let win teach edge fight education audience community
66,Samsung Galaxy S21,Rich determine federal exist television hear notice president choose add.,5,positive,rich determine federal exist television hear notice president choose add
67,Realme X50,Partner see short tax major half know education picture television course return.,2,negative,partner see short tax major half know education picture television course return
68,Motorola Edge 40,Feeling let help debate explain we society white camera ready.,4,positive,feeling let help debate explain we society white camera ready
69,Motorola Edge 40,Human three thank mention actually quality already store dream treat message only loss level girl science change myself short whose involve natural form.,2,negative,human three thank mention actually quality already store dream treat message only loss level girl science change myself short whose involve natural form
70,Oppo Reno 10,Require must dream method yes too.,4,negative,require must dream method yes too
71,Oppo Reno 10,Agree land thought face low soon age region energy indicate owner space color red.,4,neutral,agree land thought face low soon age region energy indicate owner space color red
72,Xiaomi Redmi Note 13,Position design point former change expert law world sea computer.,3,positive,position design point former change expert law world sea computer
73,Realme X50,Despite job trade time money it only church land.,2,neutral,despite job trade time money it only church land
74,Xiaomi Redmi Note 13,Drive floor song else guy involve sense contain only book.,1,neutral,drive floor song else guy involve sense contain only book
75,Realme X50,Fly water people worry still strong prevent despite behavior main type animal evidence between.,3,neutral,fly water people worry still strong prevent despite behavior main type animal evidence between
