text,cleaned_text
"The product is okay, nothing special.",the product is okay nothing special
Great quality and excellent performance.,great quality and excellent performance
"Average experience, could be better.",average experience could be better
Decent build quality and features.,decent build quality and features
Very disappointed with the quality.,very disappointed with the quality
The product broke within a week.,the product broke within a week
Terrible performance and slow response.,terrible performance and slow response
Battery drains too fast and heats up.,battery drains too fast and heats up
It works fine for daily use.,it works fine for daily use
The product broke within a week.,the product broke within a week
Battery drains too fast and heats up.,battery drains too fast and heats up
Battery life is fantastic and long lasting.,battery life is fantastic and long lasting
Decent build quality and features.,decent build quality and features
Great quality and excellent performance.,great quality and excellent performance
The product broke within a week.,the product broke within a week
"Worst experience ever, not recommended.",worst experience ever not recommended
Decent build quality and features.,decent build quality and features
It works fine for daily use.,it works fine for daily use
I absolutely love this product!,i absolutely love this product
The product broke within a week.,the product broke within a week
Not bad but not great either.,not bad but not great either
"Worst experience ever, not recommended.",worst experience ever not recommended
Great quality and excellent performance.,great quality and excellent performance
It works fine for daily use.,it works fine for daily use
"The product is okay, nothing special.",the product is okay nothing special
It works fine for daily use.,it works fine for daily use
Not bad but not great either.,not bad but not great either
"Average experience, could be better.",average experience could be better
"Amazing experience, highly recommended.",amazing experience highly recommended
The design is beautiful and premium.,the design is beautiful and premium
The product broke within a week.,the product broke within a week
"Average experience, could be better.",average experience could be better
The product broke within a week.,the product broke within a week
"Worst experience ever, not recommended.",worst experience ever not recommended
Terrible performance and slow response.,terrible performance and slow response
"Worst experience ever, not recommended.",worst experience ever not recommended
Decent build quality and features.,decent build quality and features
The product broke within a week.,the product broke within a week
The product broke within a week.,the product broke within a week
Battery life is fantastic and long lasting.,battery life is fantastic and long lasting
It works fine for daily use.,it works fine for daily use
The product broke within a week.,the product broke within a week
Decent build quality and features.,decent build quality and features
Terrible performance and slow response.,terrible performance and slow response
Terrible performance and slow response.,terrible performance and slow response
Very disappointed with the quality.,very disappointed with the quality
Terrible performance and slow response.,terrible performance and slow response
I absolutely love this product!,i absolutely love this product
Battery drains too fast and heats up.,battery drains too fast and heats up
It works fine for daily use.,it works fine for daily use
Battery drains too fast and heats up.,battery drains too fast and heats up
Battery life is fantastic and long lasting.,battery life is fantastic and long lasting
Decent build quality and features.,decent build quality and features
I absolutely love this product!,i absolutely love this product
"Worst experience ever, not recommended.",worst experience ever not recommended
Battery life is fantastic and long lasting.,battery life is fantastic and long lasting
"Worst experience ever, not recommended.",worst experience ever not recommended
