review_id,review_text,sentiment_hint
1,Colors on the screen look washed out.,Negative
2,Battery heats up during gaming sessions. Smooth display experience because of high refresh rate.,Positive
3,Battery heats up during gaming sessions. The display is bright and vibrant.,Positive
4,Performance is super smooth with no lag. Battery backup is solid and lasts all day.,Positive
5,Camera tends to overexpose images sometimes. Display feels dim under sunlight.,Positive
6,Battery heats up during gaming sessions.,Neutral
7,"Camera quality is mediocre, especially indoors. Performance is super smooth with no lag. Charging is slow compared to competitors.",Neutral
8,Sound crackles at high volume.,Positive
9,The display is bright and vibrant. Phone design is sleek and comfortable to hold. Camera tends to overexpose images sometimes.,Negative
10,Camera tends to overexpose images sometimes. Call quality is excellent. Multitasking works flawlessly.,Neutral
11,Display feels dim under sunlight. Camera tends to overexpose images sometimes.,Negative
12,Night mode camera shots look impressive.,Positive
13,Night mode camera shots look impressive. Colors on the screen look washed out.,Neutral
14,Night mode camera shots look impressive.,Neutral
15,Build quality feels premium and sturdy.,Positive
16,Smooth display experience because of high refresh rate.,Neutral
17,Charging is slow compared to competitors. Multitasking works flawlessly. The camera performs exceptionally well in daylight.,Positive
18,Battery drains faster than expected.,Positive
19,Display feels dim under sunlight.,Neutral
20,Phone design is sleek and comfortable to hold. Phone lags when running heavy apps.,Positive
21,Call quality is excellent.,Negative
22,Audio output is weak and lacks bass. Night mode camera shots look impressive. Phone design is sleek and comfortable to hold.,Neutral
23,Gaming performance is average. Feels slightly bulky in hand.,Neutral
24,Phone design is sleek and comfortable to hold. Smooth display experience because of high refresh rate. Battery backup is solid and lasts all day.,Positive
25,The display is bright and vibrant.,Positive
26,Phone lags when running heavy apps.,Negative
27,Gaming performance is average. Battery backup is solid and lasts all day.,Negative
28,The back panel attracts fingerprints easily. Camera tends to overexpose images sometimes.,Negative
29,Smooth display experience because of high refresh rate. Charging is slow compared to competitors. Multitasking works flawlessly.,Neutral
30,"Battery drains faster than expected. Camera quality is mediocre, especially indoors. Audio output is weak and lacks bass.",Negative
31,The camera performs exceptionally well in daylight. Performance is super smooth with no lag. Speakers are loud and clear.,Neutral
32,Feels slightly bulky in hand.,Negative
33,The display is bright and vibrant.,Neutral
34,Display feels dim under sunlight. Performance is super smooth with no lag.,Negative
35,Charging is slow compared to competitors. The back panel attracts fingerprints easily. Call quality is excellent.,Neutral
36,Smooth display experience because of high refresh rate. Gaming performance is average.,Negative
37,The camera performs exceptionally well in daylight. The back panel attracts fingerprints easily. Call quality is excellent.,Neutral
38,Night mode camera shots look impressive. Display feels dim under sunlight. Gaming performance is average.,Positive
39,The camera performs exceptionally well in daylight.,Neutral
40,Battery drains faster than expected. Audio output is weak and lacks bass.,Positive
41,The camera performs exceptionally well in daylight.,Positive
42,Sound crackles at high volume. Display feels dim under sunlight. Build quality feels premium and sturdy.,Positive
43,Colors on the screen look washed out. Build quality feels premium and sturdy. Speakers are loud and clear.,Negative
44,Battery heats up during gaming sessions. Feels slightly bulky in hand. Performance is super smooth with no lag.,Positive
45,Camera tends to overexpose images sometimes. Battery heats up during gaming sessions. Audio output is weak and lacks bass.,Positive
46,Performance is super smooth with no lag. Speakers are loud and clear.,Negative
47,Feels slightly bulky in hand.,Positive
48,Display feels dim under sunlight. Sound crackles at high volume. Feels slightly bulky in hand.,Negative
49,Camera tends to overexpose images sometimes. Phone design is sleek and comfortable to hold. Performance is super smooth with no lag.,Neutral
50,Display feels dim under sunlight. The back panel attracts fingerprints easily.,Negative
51,Multitasking works flawlessly. Night mode camera shots look impressive.,Neutral
52,Multitasking works flawlessly. Charging is slow compared to competitors. The camera performs exceptionally well in daylight.,Neutral
53,The display is bright and vibrant.,Positive
54,Call quality is excellent.,Positive
55,Phone design is sleek and comfortable to hold.,Positive
56,Speakers are loud and clear. Build quality feels premium and sturdy.,Neutral
57,Speakers are loud and clear. Night mode camera shots look impressive. The back panel attracts fingerprints easily.,Neutral
58,The display is bright and vibrant. Gaming performance is average.,Neutral
59,Charging is slow compared to competitors.,Neutral
60,Battery drains faster than expected. Sound crackles at high volume.,Positive
61,"Camera quality is mediocre, especially indoors. Battery backup is solid and lasts all day.",Neutral
62,Night mode camera shots look impressive. Audio output is weak and lacks bass.,Negative
63,Battery heats up during gaming sessions.,Negative
